MLSAreaMajor,closed_sales,median_close_price,average_close_price,median_price_per_sqft,average_days_on_market,average_close_to_original_list_ratio
HSP - Hesperia,2485,440000.0,395263.3054808853,254.7005520789222,54.72072434607646,22.38079794576587
SO - Sherman Oaks,2442,640000.0,942115.5517895167,478.23320105670314,41.04463554463555,0.9765831180178373
LW - Laguna Woods,2367,325000.0,322050.55175327417,319.44444444444446,34.76256865230249,41.642551968054825
C19 - Beverly Center-Miracle Mile,2250,5585.0,625188.3181777778,3.8413964124495132,50.696444444444445,1.007730619242037
610 - Burbank,2248,799950.0,779448.2596975089,576.333765174963,34.25800711743772,0.9830314884760413
670 - Whittier,2226,785000.0,734034.185804133,530.9466019417475,32.692722371967655,461.4346430420625
687 - Pomona,2144,608000.0,514940.82066231343,428.16901408450707,37.36194029850746,1.472586673912236
269 - Yucaipa/Calimesa/Oak Glen,2087,460000.0,399456.7747724006,259.3466334164589,51.63775754671778,0.9732763899491178
C21 - Silver Lake - Echo Park,2078,9500.0,747635.0712223292,5.909090909090909,39.71944177093359,1.4618588923286289
334 - South End Palm Springs,2022,470000.0,694423.1415924827,357.8382385887957,62.07566765578635,1.8025980355642828
15 - West Huntington Beach,2010,748500.0,959907.6741293533,587.8738222040148,39.320398009950246,1.4063855714668503
268 - Redlands,1996,555000.0,496693.5233066132,330.41086602633266,42.4003006012024,1.4882913953086692
NHO - North Hollywood,1991,8500.0,520407.4344550477,4.2,44.41285786037167,0.9853188829134643
681 - Chino,1982,653385.0,550456.3974571141,367.95131845841786,37.486881937436934,491.09028461167986
WLA - West Los Angeles,1949,4795.0,395330.1133914828,3.7266666666666666,47.36839404822986,1.5358956741480965
BKSF - Bakersfield,1925,375000.0,405336.8561038961,229.02623394788924,40.29818181818182,2.8963054574012554
321 - Rancho Mirage,1911,790000.0,1037094.8656462585,365.4970760233918,61.570905285190996,1.4821788429983052
92101 - San Diego Downtown,1895,515000.0,580461.2480211082,610.8312342569269,48.87915567282322,0.961225807066855
85 - Yorba Linda,1863,1100000.0,1096450.349264627,573.421068575329,31.97530864197531,5.432464134762888
690 - Upland,1851,707990.0,660809.2588168557,400.9929495072006,36.95894111291194,1.036919318346493
682 - Chino Hills,1814,780000.0,720762.3572216097,452.81083569395275,31.47960308710033,595.2772614839325
C03 - Sunset Strip - Hollywood Hills West,1801,410000.0,1474880.3414769573,461.7383909599166,56.13714602998334,0.9530046709631268
605 - Arcadia,1788,900000.0,1115292.6772930648,552.4649588991126,38.4658836689038,6.345148522171556
92037 - La Jolla,1787,1225000.0,1981009.13654169,825.7713248638838,43.565752658086176,2.6040823636407575
C16 - Mid Los Angeles,1780,422500.0,609112.4471910113,4.598684210526316,53.6752808988764,322.16484211532264
C06 - Brentwood,1751,25000.0,1737998.3106796117,7.59862735129639,43.15134209023415,0.9633184408987664
ENC - Encino,1745,565000.0,1154374.848372493,418.93362350380846,44.163323782234954,1.0929981581234456
340 - Desert Hot Springs,1721,229900.0,244083.72847762928,215.52367793206434,66.48576409064498,1.9806753840755689
"4 - Downtown Area, Alamitos Beach",1718,387450.0,453075.1635622817,486.2873059287266,56.18742724097788,1.078976221771767
C01 - Beverly Hills,1697,13500.0,2105961.2775486154,5.150135923139425,56.28697701826753,0.9570685442405225
AV - Aliso Viejo,1671,6000.0,502890.3500897666,3.5428571428571427,25.433014354066987,1.0003361049049102
GP - Great Park,1649,7500.0,821214.2359005458,2.7439024390243905,36.0,7.027773506707922
C18 - Hancock Park-Wilshire,1621,7200.0,872172.3133867983,4.078690476190476,49.43183220234423,0.9694886859960755
C13 - Palms - Mar Vista,1616,14900.0,1047945.2252475248,6.887755102040816,42.679455445544555,1.2144604695913734
C20 - Hollywood,1614,4325.0,455482.98057620815,3.4038638454461823,56.72800495662949,1.4981589000857212
PHHT - Park Hills Heights,1574,750000.0,749868.0711562897,526.3157894736842,47.49618805590851,1.0418742958368443
C11 - Venice,1571,10300.0,943726.5302355188,6.6873613063879525,49.58561425843412,0.9635797385524779
14 - South Huntington Beach,1551,750000.0,829927.4145712444,639.3309246152904,30.88201160541586,1.6334126308950625
C34 - Los Angeles Southwest,1540,654000.0,615884.3890259741,458.6607006288468,58.44090909090909,1.6281870270031995
92028 - Fallbrook,1524,795000.0,856150.9701312336,413.48600508905855,46.846456692913385,1.606584057510427
324 - East Palm Desert,1508,465000.0,518614.65898541117,309.2447916666667,56.501656726308816,1196.07896916978
92128 - Rancho Bernardo,1506,805000.0,819943.123505976,587.1757925072046,29.59628154050465,0.9804713160894911
STUD - Studio City,1497,775000.0,1133395.2004008016,561.5801704105345,40.28991315965264,1.6535059242720345
92057 - Oceanside,1497,650000.0,675219.2284569138,458.93909626719056,31.3500334001336,1.6472506615646494
C28 - Culver City,1484,575000.0,771905.2174663073,559.9104143337066,38.8733153638814,2.4788069955262957
WV - Westlake Village,1484,900000.0,1262745.960161725,545.0136239782016,46.70754716981132,1.145548397282395
92078 - San Marcos,1469,785000.0,1334505.7665078284,510.2996254681648,31.65214431586113,2.250600293468157
92056 - Oceanside,1463,835000.0,1370602.3930280246,530.9040285052279,28.67600820232399,2.3153184270431133
17 - Northwest Huntington Beach,1461,898000.0,990733.0828199863,629.6720520858452,36.002737850787135,1.1624214369999595
272 - Rialto,1457,570000.0,500327.75973919017,330.4078471863707,33.2786547700755,1.7227265892998658
322 - North Palm Desert,1433,445000.0,458361.07920446614,277.2341813437704,65.5771109560363,2.186549720004808
79 - Anaheim West of Harbor,1431,775000.0,690588.2250244584,524.8397435897435,29.50593990216632,1.6201946552780715
C12 - Marina Del Rey,1426,15000.0,743788.2103786817,7.5,43.53927068723703,0.9710271917064986
C17 - Mid-Wilshire,1417,3300.0,298856.8568454481,3.496221662468514,48.17713479181369,0.9733185732536115
616 - Diamond Bar,1416,602500.0,672306.8240112994,475.47332185886404,36.6024011299435,1.0088751948449504
249 - Eastvale,1382,730495.0,557593.6751085384,286.64234275074625,31.268451519536903,1.1075204252144426
251 - Jurupa Valley,1347,637578.0,594712.9361544172,357.14285714285717,37.051224944320715,1.7298845953093906
SLO - San Luis Obispo,1337,875000.0,964720.6868436799,593.9507834694302,70.4091249065071,3.514080829336286
669 - West Covina,1331,780000.0,727333.624718257,487.3138832997988,30.125469571750564,5.0677688736405555
92024 - Encinitas,1322,1532500.0,1675174.2125567321,857.0752164502164,36.07337367624811,0.9762523479362666
92071 - Santee,1319,725000.0,691333.386656558,507.706467155266,28.410159211523883,1.7436494978664072
WEH - West Hills,1319,899000.0,717222.8454510993,492.2543328670354,36.2426080363912,0.986381806058586
78 - Anaheim East of Harbor,1287,760000.0,641012.9496581197,501.5735884750429,32.12820512820513,1.7655780864203559
MN - Mission Viejo North,1287,780000.0,734822.4724164724,579.4621026894865,29.373737373737374,3.44659317086537
AGOA - Agoura,1272,609000.0,813201.5896226416,490.5660377358491,42.75235849056604,1.7549208116312673
