ListOfficeName,BuyerOfficeName,closed_sales,total_sales_volume,median_close_price,average_days_on_market,average_close_to_original_list_ratio
Century 21 Masters,NONMEMBER MRML,480,293451495.0,586896.5,32.3,1.5804033502316748
Estate Properties,Estate Properties,181,293437763.0,1425000.0,32.232044198895025,0.9788734005508969
Berkshire Hathaway HomeServices California Properties,Coldwell Banker Realty,190,292406390.0,1063620.0,40.526315789473685,0.969288087171342
Compass,Redfin Corporation,238,292063593.0,1050000.0,31.45798319327731,0.9882564223801475
Compass,First Team Real Estate,181,289374411.0,1216500.0,29.502762430939228,0.9827502161692565
Christie's International Real Estate SoCal,Compass,67,287151553.0,2120000.0,44.83582089552239,0.9821302813842733
Vista Sotheby’s International Realty,Vista Sotheby’s International Realty,116,286546361.0,2106250.0,24.25862068965517,0.993377095692528
Sotheby's International Realty,Coldwell Banker Realty,140,279607515.0,1467500.0,51.47857142857143,0.9690237067927945
Keller Williams Realty,Coldwell Banker Realty,227,278185374.0,1050000.0,34.02643171806167,1.0001108891367925
Rodeo Realty,Compass,150,273284432.0,1417500.0,38.74,7.079706665637238
eXp Realty of California Inc,,257,271775530.0,829000.0,38.36964980544747,1.0084132502480079
Realty One Group West,Realty One Group West,187,269084599.0,1200000.0,31.754010695187166,0.9683473821066348
"Douglas Elliman of California, Inc.","Douglas Elliman of California, Inc.",82,267170666.0,2450000.0,39.146341463414636,1.0580772478087894
Redfin,Redfin,219,264496146.0,1099000.0,25.328767123287673,1.0064435573028288
Coldwell Banker Realty,First Team Real Estate,195,264365026.0,1050000.0,31.933333333333334,0.9898595632333889
Westside Estate Agency Inc.,Westside Estate Agency Inc.,13,264273000.0,10700000.0,40.84615384615385,0.8654846097704694
eXp Realty of California Inc,Compass,194,261309693.0,1050000.0,37.381443298969074,1.0396742077118217
Compass,Douglas Elliman,86,258351036.0,1985450.0,49.2906976744186,0.9746393979664526
Compass,Maxreal,102,257893028.0,2175000.0,17.19607843137255,1.0839810694104877
First Team Real Estate,Coldwell Banker Realty,197,256052789.0,1175000.0,29.00507614213198,0.9855700511829067
Compass,"Douglas Elliman of California, Inc.",91,254584567.0,1775000.0,39.879120879120876,0.9760350189195334
Keller Williams Realty Irvine,Keller Williams Realty Irvine,137,251547088.0,1383000.0,19.072992700729927,1.057634060236172
Compass,Keller Williams Thrive,118,246468875.0,1842500.0,14.73728813559322,1.0799550850226336
Coldwell Banker Realty,Berkshire Hathaway HomeServices California Properties,168,245177647.0,1100000.0,36.51190476190476,0.9823423938476423
Berkshire Hathaway HomeService,Compass,128,244868386.0,1362500.0,36.953125,0.9774523324252162
Compass,Non-Participant Office,78,244210546.0,1796250.0,36.743589743589745,0.9689063823687871
Christie's International Real Estate SoCal,Christie's International Real Estate SoCal,77,242991988.0,2220000.0,55.12987012987013,0.9427142682065177
Compass,COMPASS,148,242080680.0,1300059.5,23.986486486486488,1.0468567823157628
COMPASS,Compass,143,236311597.0,1338888.0,23.335664335664337,1.045073206391455
Pacific Sotheby's Int'l Realty,Coldwell Banker Realty,78,234784500.0,1767500.0,36.32051282051282,0.9600565747471254
Century 21 Masters,Century 21 Masters,324,227257768.0,657500.0,32.94135802469136,1.028836626813372
"Bighorn Properties, Inc.","Bighorn Properties, Inc.",39,226418000.0,4100000.0,48.64102564102564,0.950516817339768
Golden Gate Sotheby's International Realty,Coldwell Banker Realty,70,224588500.0,2755500.0,16.242857142857144,1.0512490791065183
Compass,Equity Union,190,224526395.0,995000.0,50.13157894736842,1.0168000546192844
Carolwood Estates,The Beverly Hills Estates,23,223993000.0,5149000.0,88.30434782608695,0.891154752728079
KW Bay Area Estates,KW Bay Area Estates,113,219909497.0,1675000.0,17.672566371681416,1.0355775909666158
Intero Real Estate Services,Christie's International Real Estate Sereno,103,217985281.0,1750000.0,19.12621359223301,1.0512798109854347
Redfin Corporation,Redfin Corporation,236,217338125.0,785000.0,26.199152542372882,0.9866899072203954
Douglas Elliman,Compass,81,217151045.0,1915000.0,35.02469135802469,0.9883087973136448
Coldwell Banker,Compass,124,214147970.0,1600250.5,23.443548387096776,1.0169741767903344
Coldwell Banker Realty,Out of Area Office,103,211948947.0,1410000.0,33.213592233009706,0.9951333058849485
"eXp Realty of California, Inc.",Compass,176,211788509.0,945000.0,28.244318181818183,0.9932955985418779
Redfin,Compass,145,211192708.0,1225000.0,26.53103448275862,1.016960656250073
Pinnacle Estate Properties,Pinnacle Estate Properties,173,208018680.0,1035000.0,27.502890173410403,0.9744797987002304
RE/MAX One,RE/MAX One,170,205884928.0,1060000.0,29.129411764705882,0.9774306599536362
Coldwell Banker Realty,Non-Participant Office,47,205772278.0,2131500.0,67.38297872340425,0.9282349473408307
Compass,Golden Gate Sotheby's International Realty,68,204155000.0,2400000.0,36.76470588235294,1.0061125759914857
Luxe Real Estate,Luxe Real Estate,27,202891500.0,5850000.0,51.592592592592595,0.9141856100752193
Christie's International Real Estate Sereno,Intero Real Estate Services,95,202778415.0,1710000.0,20.063157894736843,1.0453901327009862
Compass,Out of Area Office,99,202713499.0,1643250.0,34.75757575757576,1.0017491453781275
Coldwell Banker West,Compass,174,202076572.0,882500.0,31.310344827586206,0.9830889196583837
Compass,Coldwell Banker West,152,200713198.0,904950.0,26.11842105263158,0.9944578925759324
"HomeSmart, Evergreen Realty","HomeSmart, Evergreen Realty",182,200405867.0,945000.0,23.994505494505493,1.0315032077362838
Carmel Realty Company,Carmel Realty Company,57,200078710.0,2675000.0,64.17543859649123,0.9169005280480863
T.N.G. Real Estate Consultants,T.N.G. Real Estate Consultants,174,198678045.0,1062500.0,20.155172413793103,1.0087976593703147
Coldwell Banker Realty,KW Advisors,100,196167699.0,1575000.0,26.3,9.04068879801431
Compass,Rodeo Realty,85,194984175.0,1602000.0,31.08235294117647,0.9760476831200716
Compass,Berkshire Hathaway HomeService,100,192645550.0,1491375.0,27.8,0.9890298188915321
The Beverly Hills Estates,Carolwood Estates,20,192050000.0,7750000.0,55.0,0.9425181942165487
Compass,The Beverly Hills Estates,41,190847224.0,3175000.0,45.073170731707314,0.9646061762930772
KW Advisors East Bay,Compass,141,190680915.0,1285000.0,26.52482269503546,1.1161737829403167
The Beverly Hills Estates,Compass,42,190600689.0,2887500.0,62.69047619047619,0.9541151275512211
Compass,Coldwell Banker,117,190451834.0,1470000.0,22.45299145299145,1.0213335511931108
Keller Williams Beverly Hills,Keller Williams Beverly Hills,118,189722675.0,1340000.0,34.91525423728814,0.9819009502169938
Coldwell Banker Realty,Equity Union,157,187979456.0,899000.0,55.2484076433121,0.9567405485534706
Redfin Corporation,Compass,164,186949000.0,980000.0,27.71951219512195,0.9859734892599004
The GRUBB Company,Compass,94,186586379.0,1645000.0,17.23404255319149,1.2062360962524477
Compass,Red Oak Realty,142,185319753.0,1265000.0,21.683098591549296,1.1741254073041096
Intero Real Estate Services,Keller Williams Thrive,85,185290210.0,1888000.0,15.447058823529412,1.0855950930815441
Coldwell Banker Realty,Real Broker,173,183671074.0,855000.0,29.601156069364162,0.9910434467415066
KB HOME,None MRML,287,181216476.0,622000.0,79.90592334494774,1.0485467562862048
Compass,KW Bay Area Estates,100,179671088.0,1497500.0,16.34,1.0527797358939888
Barry Estates,Compass,26,179050000.0,5670000.0,62.88461538461539,0.9075213626015347
eXp Realty of California Inc,Coldwell Banker Realty,131,178078450.0,1165000.0,34.56488549618321,1.0017080582938447
Castlegate Realty Group,Re/Max Coastal Homes,1,178000000.0,178000000.0,12.0,100.0
Coldwell Banker Realty,Pacific Sotheby's Int'l Realty,58,176431517.0,1802500.0,48.51724137931034,0.9697649903138842
Golden Gate Sotheby's International Realty,Golden Gate Sotheby's International Realty,73,175199901.0,2050000.0,15.191780821917808,1.017145611868037
Estate Properties,Compass,110,174528875.0,1309872.5,33.81818181818182,1.0784776144840993
Arbor Real Estate,Arbor Real Estate,50,172785570.0,2780000.0,26.76,0.9709768894555532
Golden Gate Sotheby's International Realty,,94,172785268.0,1435500.0,29.925531914893618,1.0046447345953264
Keller Williams Realty,Real Broker,163,171060050.0,845000.0,29.484662576687118,6.901785908448635
The Agency,Carolwood Estates,30,170767485.0,3825000.0,45.93333333333333,0.9589274627247011
COMPASS,Coldwell Banker Realty,73,170037128.0,1850000.0,26.301369863013697,1.04905231790243
Compass,MLSListing,112,168706519.0,1275000.0,24.196428571428573,1.0471113863123822
Coldwell Banker Realty,Keller Williams Thrive,85,167772919.0,1815000.0,15.188235294117646,1.0782632970541564
Berkshire Hathaway HomeServices California Properties,The Agency,51,165706720.0,1900000.0,60.64705882352941,0.9629797408439417
Red Oak Realty,Red Oak Realty,142,165280171.0,1150000.0,21.330985915492956,1.178473221410531
Compass,Vista Sotheby’s International Realty,65,163538548.0,2075000.0,28.138461538461538,1.0011562214553549
Carolwood Estates,The Agency,26,163349905.0,3905000.0,45.92307692307692,0.9267031441452441
Vista Sotheby’s International Realty,Compass,63,163007670.0,2250000.0,29.841269841269842,0.9836056559222397
Equity Union,Coldwell Banker Realty,145,161941534.0,875000.0,51.37931034482759,0.9674460205343578
RICHMOND AMERICAN HOMES,RICHMOND AMERICAN HOMES,246,160676980.0,641528.0,87.80081300813008,0.9995005420792855
Sotheby's International Realty,Carmel Realty Company,43,159311538.0,2695000.0,57.906976744186046,0.9497809202879284
Bennion Deville Homes,Compass,128,158545840.0,870000.0,60.9765625,8.751014117132039
"eXp Realty of California, Inc","eXp Realty of California, Inc",109,157341872.0,930000.0,25.155963302752294,0.9868700662415477
"Pinnacle Estate Properties, Inc.",Compass,109,156530914.0,1149900.0,36.28440366972477,1.1580822521452891
Coldwell Banker,Coldwell Banker,101,156444880.0,1275000.0,29.673267326732674,0.9673734538283777
Dudum Real Estate Group,Compass,102,156346754.0,1342500.0,17.794117647058822,1.0271017185953666
JohnHart Real Estate,JohnHart Real Estate,151,156003832.0,950000.0,32.93377483443709,0.9929015586402498
RE/MAX Estate Properties,RE/MAX Estate Properties,98,154299000.0,1492500.0,33.06122448979592,0.9821569319855968
Red Oak Realty,Compass,125,152027298.0,1050000.0,20.664,1.1730266482051863
The Oppenheim Group,The Oppenheim Group,46,151749500.0,1696250.0,45.02173913043478,0.9445181915765545
Surterre Properties Inc.,Surterre Properties Inc.,43,151652000.0,3275000.0,26.86046511627907,0.975940739915777
Willis Allen Real Estate,Compass,67,150257294.0,1786000.0,38.985074626865675,0.9686233521164478
Village Associates Real Estate,Compass,71,149815625.0,2000000.0,20.830985915492956,1.0232217450191965
Coldwell Banker Realty,Maxreal,74,149730538.0,1786500.0,18.81081081081081,1.063413338429101
RE/MAX Gold Coast REALTORS,RE/MAX Gold Coast REALTORS,170,149708628.86,790000.0,28.905882352941177,0.9886449871087462
Coldwell Banker Realty,COMPASS,97,148785600.0,1391000.0,32.95876288659794,1.0430024048326085
Compass,KW Advisors East Bay,101,148784985.0,1360000.0,24.217821782178216,1.1078944625522624
Coldwell Banker Realty,Rodeo Realty,74,148488246.0,1349000.0,39.4054054054054,0.976732889088621
Coldwell Banker Realty,Redfin Corporation,147,147572272.0,910000.0,37.36054421768708,0.9758185400621076
Intero Real Estate Services,Maxreal,62,147544876.0,2065000.0,15.35483870967742,1.0667541589674077
Coldwell Banker Realty,"eXp Realty of California, Inc.",131,146086228.0,790245.0,37.06870229007634,0.9801393253588637
RE/MAX of Santa Clarita,RE/MAX of Santa Clarita,152,145270800.0,882500.0,27.61842105263158,0.9841802361337941
Christie's AKG,Christie's AKG,30,143320888.0,2725000.0,55.166666666666664,0.8975483651758951
Compass,Village Associates Real Estate,60,142853024.0,2130000.0,18.283333333333335,1.0182834399056662
"Big Block Realty, Inc.","Kali Real Estate, Inc",1,142590000.0,142590000.0,6.0,96.67118644067797
Real Broker,Coldwell Banker Realty,127,142532296.0,875000.0,28.811023622047244,0.9941931024893115
RE/MAX ONE,RE/MAX ONE,80,140722085.0,1000000.0,36.6125,1.080666110290209
Compass,Dudum Real Estate Group,79,139844250.0,1625000.0,13.924050632911392,1.0284368184053538
KW Advisors,Coldwell Banker Realty,75,138281100.0,1775000.0,24.186666666666667,1.0535977961737706
Pacific Sotheby's International Realty,Pacific Sotheby's International Realty,60,138175500.0,2125500.0,39.4,0.9719012436490254
KW Advisors East Bay,KW Advisors East Bay,114,137583944.0,975000.0,23.149122807017545,1.0866579475038964
Keller Williams Realty,"eXp Realty of California, Inc.",152,137134139.0,817500.0,24.342105263157894,1.0071978269591826
Compass,Pardee Properties,64,136737501.0,1800000.0,28.09375,1.000187621091706
Compass,Keller Williams Tri-Valley,82,136607611.0,1545000.0,19.426829268292682,1.0035640364507594
Pardee Properties,Compass,63,135934442.0,1950000.0,27.19047619047619,1.0001135286073886
D R Horton America's Builder,None MRML,221,135373472.0,602680.0,39.800904977375566,0.9939310905228955
Keller Williams Realty,First Team Real Estate,108,135153452.0,997000.0,27.537037037037038,1.006259120119415
Berkshire Hathaway HomeServices California Properties,Sotheby's International Realty,41,133768729.0,2126000.0,45.8780487804878,1.0021277974425935
"James Jones, Broker",Coldwell Banker Realty,1,133750000.0,133750000.0,3.0,99.07407407407408
Village Properties,Non-member Office,15,133480473.0,5800000.0,66.0,0.9465650049037724
Compass,"eXp Realty of Southern California, Inc.",105,133261425.0,999000.0,31.64761904761905,0.9890983468529047
Century 21 Allstars,Century 21 Allstars,189,133176065.0,670000.0,24.59259259259259,1.0006527817618565
Arbor Real Estate,Compass,27,133077685.0,3575000.0,28.333333333333332,0.9928727225223198
Carolwood Estates,Berkshire Hathaway HomeServices California Properties,16,132640606.0,5887500.0,43.9375,0.9348387708098455
The GRUBB Company,The GRUBB Company,67,131877100.0,1600000.0,15.895522388059701,1.2218797492768612
Property Gallery,Real Broker,1,131588800.0,131588800.0,4.0,101.30007698229407
Pardee Properties,Pardee Properties,55,130915980.0,1910000.0,44.90909090909091,0.9600297450435896
Sotheby's International Realty,Non-Participant Office,37,130878527.0,2347358.0,62.91891891891892,0.9355594789534173
HomeSmart Realty West,HomeSmart Realty West,132,130739117.0,797500.0,35.60606060606061,0.9563494362224163
Douglas Elliman,Douglas Elliman,50,130417519.0,2062000.0,60.88,0.9685012778519865
Berkshire Hathaway HomeService,Coldwell Banker Realty,83,128819552.0,1377000.0,41.31325301204819,0.9812619914065054
Bullock Russell RE Services,Bullock Russell RE Services,87,128105141.0,1400000.0,28.149425287356323,0.9679058654812229
D R Horton America's Builder,D R Horton America's Builder,208,127817865.0,594852.5,32.12980769230769,3.8075653378601015
Keller Williams Tri-Valley,Compass,86,127383188.0,1300000.0,18.627906976744185,1.0275824621881706
Compass,The GRUBB Company,60,127054000.0,1752500.0,25.4,1.1679201623916378
Coldwell Banker West,Real Broker,139,125649870.0,799000.0,29.640287769784173,0.9898106372336286
Bennion Deville Homes,Equity Union,121,125026801.75,799000.0,66.30578512396694,0.9387004682082546
Coldwell Banker Realty,KW Bay Area Estates,65,124872385.0,1490000.0,18.415384615384614,1.0321742251471424
Intero Real Estate Services,eXp Realty of California Inc,86,124227500.0,1255000.0,29.325581395348838,1.0105087089895652
Vista Sotheby's International Realty,Vista Sotheby's International Realty,63,124157542.5,1511000.0,29.047619047619047,0.9709014457117477
Golden Gate Sotheby's Int'l Re,Compass,40,123961250.0,1987500.0,30.65,0.9929574130007431
"Toll Brothers Real Estate,Inc",Datashare SFAR Default Office Don't Delete,74,122521456.0,1013447.5,29.04054054054054,0.9980988974015559
Seven Gables Real Estate,Coldwell Banker Realty,84,121837300.0,1250000.0,20.083333333333332,0.9944476488457997
"eXp Realty of Southern California, Inc.",Compass,70,121723721.0,1265000.0,23.957142857142856,0.9877717902735302
Village Associates Real Estate,Village Associates Real Estate,55,121559750.0,2000000.0,23.745454545454546,0.9932931767295525
Keller Williams Realty Central Coast,Keller Williams Realty Central Coast,130,120281371.49,818500.0,35.16923076923077,8.663702988528138
CENTURY 21 Affiliated,CENTURY 21 Affiliated,89,120094798.0,1200000.0,41.28089887640449,0.9702115516733122
Strategic Sales & Mkt. Grp.Inc,None MRML,64,120089384.0,1212425.5,53.515625,1.150663441889888
"Douglas Elliman of California, Inc.",The Agency,13,119842000.0,4800000.0,77.0,0.9454777761970761
Real Brokerage Technologies,Real Brokerage Technologies,118,119163651.0,799950.0,25.661016949152543,0.9977291509169534
Compass,Real Brokerage Technologies,77,118987388.0,1150000.0,29.636363636363637,1.0223813523476573
HomeSmart,HomeSmart,205,118289249.0,510000.0,58.66341463414634,0.9445816597683188
First Team Real Estate,Real Broker,105,118033384.0,950000.0,31.142857142857142,0.9869982262667898
RE/MAX Select One,RE/MAX Select One,91,117518474.0,1005000.0,26.67032967032967,1.0800976508463525
Carolwood Estates,Coldwell Banker Realty,23,117255196.0,3165000.0,65.04347826086956,0.9515999484079096
Harvest Realty Development,Harvest Realty Development,63,116404026.0,1460000.0,22.761904761904763,0.9854513859993749
Intero Real Estate Services,Redfin,76,116001698.0,1442500.0,22.63157894736842,1.028701022508291
Seven Gables Real Estate,Compass,72,114855610.0,1255750.0,24.305555555555557,1.112840927936964
Re/Max Accord,Re/Max Accord,81,114808588.0,1275000.0,19.395061728395063,1.014760704680949
Douglas Elliman,Coldwell Banker Realty,38,113724957.0,1535000.0,34.31578947368421,0.9725639834174329
Compass,eXp Realty of California,98,113242223.0,937500.0,25.040816326530614,1.024039082835919
"Circa Properties, Inc.","Circa Properties, Inc.",93,113119690.0,1050000.0,13.709677419354838,1.0227549408752914
Coldwell Banker Realty,Pinnacle Real Estate Group,65,112892152.0,1240000.0,26.476923076923075,1.013967126726355
KW Bay Area Estates,Coldwell Banker Realty,57,112604748.0,1720000.0,23.087719298245613,1.0315993818510978
Deleon Realty,Compass,18,112540330.0,4808500.0,23.333333333333332,1.0858429532082392
David Lyng Real Estate,David Lyng Real Estate,85,112267810.0,1200000.0,43.01176470588236,0.9589155093807632
Compass,BQ Realty,57,112070688.0,1850000.0,14.333333333333334,1.0739929697583834
Compass,Bennion Deville Homes,83,111581560.0,995000.0,66.50602409638554,0.9514030219454868
Century 21 Affiliated,Century 21 Affiliated,114,110456863.0,857500.0,20.833333333333332,0.9870798679056887
Willis Allen Real Estate,Willis Allen Real Estate,56,110432970.0,1610000.0,28.160714285714285,0.9625463042419312
